id	label	value
906	BEADY	99182
907	BEAKS	58673
908	BEAKY	26561
909	BEALS	60139
910	BEAMS	20723
911	BEAMY	35988
912	BEANO	67856
913	BEANS	18576
914	BEANY	73240
915	BEARD	94379
916	BEARE	87807
917	BEARS	92265
918	BEAST	93515
919	BEATH	63679
920	BEATS	17749
921	BEATY	59365
922	BEAUS	26590
923	BEAUT	91693
924	BEAUX	40626
925	BEBOP	62283
926	BECAP	72617
927	BECKE	3282
928	BECKS	59519
929	BEDAD	36652
930	BEDEL	3934
931	BEDES	68720
932	BEDEW	77103
933	BEDIM	20893
934	BEDYE	31583
935	BEECH	22546
936	BEEDI	37127
937	BEEFS	92093
938	BEEFY	92205
939	BEEPS	5869
940	BEERS	82796
941	BEERY	96205
942	BEETS	45875
943	BEFIT	84659
944	BEFOG	5854
945	BEGAD	97250
946	BEGAN	10409
947	BEGAR	2964
948	BEGAT	98157
949	BEGEM	39014
950	BEGET	69803
951	BEGIN	24868
952	BEGOT	933
953	BEGUM	52415
954	BEGUN	73680
955	BEIGE	28101
956	BEIGY	18538
957	BEING	24584
958	BEINS	60914
959	BEKAH	83823
960	BELAH	74470
961	BELAR	69852
962	BELAY	74760
963	BELCH	4308
964	BELEE	50177
965	BELGA	73067
966	BELIE	19034
967	BELLE	80768
968	BELLS	20439
969	BELLY	8994
970	BELON	84676
971	BELOW	75163
972	BELTS	17821
973	BEMAD	14280
974	BEMAS	98181
975	BEMIX	71424
976	BEMUD	12157
977	BENCH	89062
978	BENDS	56435
979	BENDY	74708
980	BENES	7930
981	BENET	2887
982	BENGA	52574
983	BENIS	85677
984	BENNE	87811
985	BENNI	71162
986	BENNY	22501
987	BENTO	2560
988	BENTS	53175
989	BENTY	83850
990	BEPAT	3036
991	BERAY	16418
992	BERES	53662
993	BERET	74528
994	BERGS	67224
995	BERKO	84507
996	BERKS	92892
997	BERME	2618
998	BERMS	12911
999	BEROB	84371
1000	BERRY	29604
1001	BERTH	90853
1002	BERYL	89991
1003	BESAT	64719
1004	BESAW	35939
1005	BESEE	16437
1006	BESES	52722
1007	BESET	1670
1008	BESIT	63834
1009	BESOM	84275
1010	BESOT	97933
1011	BESTI	1233
1012	BESTS	36136
1013	BETAS	81503
1014	BETED	31500
1015	BETEL	53539
1016	BETES	14435
1017	BETHS	26421
1018	BETID	18398
1019	BETON	65092
1020	BETTA	14020
1021	BETTY	29710
1022	BEVEL	47885
1023	BEVER	6661
1024	BEVOR	63916
1025	BEVUE	16646
1026	BEVVY	17527
1027	BEWET	31287
1028	BEWIG	49201
1029	BEZEL	59467
1030	BEZES	85098
1031	BEZIL	18076
1032	BEZZY	17991
1033	BHAIS	87279
1034	BHAJI	5191
1035	BHANG	7
1036	BHATS	58666
1037	BHELS	79489
1038	BHOOT	44710
1039	BHUNA	61082
1040	BHUTS	72875
1041	BIACH	70730
1042	BIALI	27767
1043	BIALY	96635
1044	BIBBS	21376
1045	BIBES	96683
1046	BIBLE	9861
1047	BICCY	91049
1048	BICEP	70631
1049	BICES	43629
1050	BIDDY	23800
1051	BIDED	68075
1052	BIDER	20806
1053	BIDES	79520
1054	BIDET	91341
1055	BIDIS	21986
1056	BIDON	87994
1057	BIELD	63972
1058	BIERS	11759
1059	BIFFO	52847
1060	BIFFS	4048
1061	BIFFY	76168
1062	BIFID	62457
1063	BIGAE	42519
1064	BIGGS	68230
1065	BIGGY	67101
1066	BIGHA	63126
1067	BIGHT	69125
1068	BIGLY	97096
1069	BIGOS	33941
1070	BIGOT	50775
1071	BIJOU	33292
1072	BIKED	63311
1073	BIKER	65343
1074	BIKES	18537
1075	BIKIE	64140
1076	BILBO	1091
1077	BILBY	43770
1078	BILED	65427
1079	BILES	28124
1080	BILGE	18046
1081	BILGY	36448
1082	BILKS	77515
1083	BILLS	82314
1084	BILLY	43340
1085	BIMAH	18535
1086	BIMAS	24728
1087	BIMBO	90228
1088	BINAL	4446
1089	BINDI	7443
1090	BINDS	30923
1091	BINER	6449
1092	BINES	79402
1093	BINGE	16442
1094	BINGO	14197
1095	BINGS	95789
1096	BINGY	84754
1097	BINIT	61967
1098	BINKS	85538
1099	BINTS	39102
1100	BIOGS	40946
1101	BIOME	37875
1102	BIONT	34001
1103	BIOTA	12791
1104	BIPED	46187
1105	BIPOD	73763
1106	BIRCH	23438
1107	BIRDS	41407
1108	BIRKS	30037
1109	BIRLE	15578
1110	BIRLS	44339
1111	BIROS	93582
1112	BIRRS	42948
1113	BIRSE	16111
1114	BIRSY	89711
1115	BIRTH	48158
1116	BISES	17912
1117	BISKS	14816
1118	BISOM	76171
1119	BISON	50618
1120	BITCH	89282
1121	BITER	89807
1122	BITES	58026
1123	BITOS	67640
1124	BITOU	61521
1125	BITSY	46290
1126	BITTE	9030
1127	BITTS	49652
1128	BITTY	47931
1129	BIVIA	16199
1130	BIVVY	48625
1131	BIZES	63475
1132	BIZZO	71230
1133	BIZZY	71112
1134	BLABS	6271
1135	BLACK	28512
1136	BLADE	99782
1137	BLADS	76402
1138	BLADY	17004
1139	BLAER	33632
1140	BLAES	71162
1141	BLAFF	20051
1142	BLAGS	226
1143	BLAHS	31617
1144	BLAIN	94368
1145	BLAME	9432
1146	BLAMS	78791
1147	BLAND	49130
1148	BLANK	86123
1149	BLARE	3335
1150	BLART	332
1151	BLASE	77973
1152	BLASH	69319
1153	BLAST	43633
1154	BLATE	52473
1155	BLATS	84066
1156	BLATT	28164
1157	BLAUD	17019
1158	BLAWN	51083
1159	BLAWS	57259
1160	BLAYS	31226
1161	BLAZE	1035
1162	BLEAK	74610
1163	BLEAR	26024
1164	BLEAT	36717
1165	BLEBS	45881
1166	BLECH	51289
1167	BLEED	4744
1168	BLEEP	62622
1169	BLEES	91864
1170	BLEND	56276
1171	BLENT	27964
1172	BLERT	93778
1173	BLESS	82872
1174	BLEST	13730
1175	BLETS	63158
1176	BLEYS	88381
1177	BLIMP	26307
1178	BLIMY	52181
1179	BLIND	25716
1180	BLING	63269
1181	BLINI	63183
1182	BLINK	64579
1183	BLINS	88908
1184	BLINY	69591
1185	BLIPS	54463
1186	BLISS	15109
1187	BLIST	75991
1188	BLITE	42660
1189	BLITS	61107
1190	BLITZ	86824
1191	BLIVE	29846
1192	BLOAT	92942
1193	BLOBS	58028
1194	BLOCK	70942
1195	BLOCS	28727
1196	BLOGS	17771
1197	BLOKE	34364
1198	BLOND	55630
1199	BLOOD	83827
1200	BLOOK	12580
1201	BLOOM	53197
1202	BLOOP	65076
1203	BLORE	69393
1204	BLOTS	89892
1205	BLOWN	24566
1206	BLOWS	43967
1207	BLOWY	95678
1208	BLUBS	5026
1209	BLUDE	94041
1210	BLUDS	55869
1211	BLUDY	55495
1212	BLUED	49952
1213	BLUER	63920
1214	BLUES	41722
1215	BLUET	91944
1216	BLUEY	39361
1217	BLUFF	84309
1218	BLUID	21002
1219	BLUME	87944
1220	BLUNK	3998
1221	BLUNT	71193
1222	BLURB	33680
1223	BLURS	88748
1224	BLURT	4566
1225	BLUSH	66768
1226	BLYPE	4967
1227	BOABS	20313
1228	BOAKS	46826
1229	BOARD	89100
1230	BOARS	1807
1231	BOART	59966
1232	BOAST	33679
1233	BOATS	94528
1234	BOBAC	29973
1235	BOBAK	69836
1236	BOBAS	23013
1237	BOBBY	16458
1238	BOBOL	1488
1239	BOBOS	65867
1240	BOCCA	20212
1241	BOCCE	55554
1242	BOCCI	60388
1243	BOCHE	69792
1244	BOCKS	57957
1245	BODED	67073
1246	BODES	59210
1247	BODGE	86690
1248	BODHI	65364
1249	BODLE	3863
1250	BOEPS	94790
1251	BOETS	23954
1252	BOEUF	31411
1253	BOFFO	26488
1254	BOFFS	88501
1255	BOGAN	31515
1256	BOGEY	8139
1257	BOGGY	49320
1258	BOGIE	291
1259	BOGLE	68643
1260	BOGUE	88197
1261	BOGUS	59771
1262	BOHEA	41742
1263	BOHOS	17211
1264	BOILS	94013
1265	BOING	41197
1266	BOINK	32356
1267	BOITE	85604
1268	BOKED	69019
1269	BOKEH	5932
1270	BOKES	67360
1271	BOKOS	5379
1272	BOLAR	77066
1273	BOLAS	93194
1274	BOLDS	95978
1275	BOLES	55553
1276	BOLIX	92483
1277	BOLLS	11009
1278	BOLOS	54451
1279	BOLTS	10336
1280	BOLUS	76674
1281	BOMAS	82231
1282	BOMBE	2829
1283	BOMBO	16457
1284	BOMBS	96293
1285	BONCE	18650
1286	BONDS	4252
1287	BONED	739
1288	BONER	90406
1289	BONES	86951
1290	BONEY	97993
1291	BONGO	5926
1292	BONGS	78598
1293	BONIE	59294
1294	BONKS	71125
1295	BONNE	16421
1296	BONNY	56307
1297	BONUS	38838
1298	BONZA	56377
1299	BONZE	13275
1300	BOOAI	38026
1301	BOOAY	68115
1302	BOOBS	67394
1303	BOOBY	55636
1304	BOODY	20018
1305	BOOED	58831
1306	BOOFY	77136
1307	BOOGY	95254
1308	BOOHS	5742
1309	BOOKS	99964
1310	BOOKY	10057
1311	BOOLS	53604
1312	BOOMS	64949
1313	BOOMY	15931
1314	BOONG	64837
1315	BOONS	49103
